score,m,n,max_score,sim
24.73000000000001,188,88,43.369999999999976,80
20.51333333333333,188,88,43.369999999999976,81
22.480000000000004,188,88,43.369999999999976,82
21.443333333333335,188,88,43.369999999999976,83
21.27333333333334,188,88,43.369999999999976,84
21.19000000000001,188,88,43.369999999999976,85
22.65666666666668,188,88,43.369999999999976,86
22.263333333333335,188,88,43.369999999999976,87
22.833333333333343,188,88,43.369999999999976,88
21.133333333333347,188,88,43.369999999999976,89
25.333333333333346,188,88,43.369999999999976,90
24.266666666666676,188,88,43.369999999999976,91
21.030000000000005,188,88,43.369999999999976,92
23.816666666666684,188,88,43.369999999999976,93
23.963333333333345,188,88,43.369999999999976,94
21.60333333333334,188,88,43.369999999999976,95
20.816666666666674,188,88,43.369999999999976,96
20.790000000000006,188,88,43.369999999999976,97
22.180000000000014,188,88,43.369999999999976,98
23.576666666666675,188,88,43.369999999999976,99
22.47000000000001,188,88,43.369999999999976,100
30.40000000000001,326,226,77.43666666666657,1
32.860000000000014,326,226,77.43666666666657,2
31.85666666666669,326,226,77.43666666666657,3
34.15,326,226,77.43666666666657,4
31.166666666666675,326,226,77.43666666666657,5
30.27333333333334,326,226,77.43666666666657,6
34.16333333333333,326,226,77.43666666666657,7
31.50666666666669,326,226,77.43666666666657,8
29.523333333333344,326,226,77.43666666666657,9
30.896666666666682,326,226,77.43666666666657,10
30.773333333333344,326,226,77.43666666666657,11
31.706666666666663,326,226,77.43666666666657,12
30.406666666666656,326,226,77.43666666666657,13
31.356666666666694,326,226,77.43666666666657,14
32.706666666666656,326,226,77.43666666666657,15
30.620000000000005,326,226,77.43666666666657,16
27.76666666666669,326,226,77.43666666666657,17
35.94999999999999,326,226,77.43666666666657,18
28.87000000000002,326,226,77.43666666666657,19
30.393333333333338,326,226,77.43666666666657,20
30.496666666666673,326,226,77.43666666666657,21
31.573333333333355,326,226,77.43666666666657,22
33.38999999999999,326,226,77.43666666666657,23
31.550000000000008,326,226,77.43666666666657,24
34.50999999999999,326,226,77.43666666666657,25
30.373333333333342,326,226,77.43666666666657,26
27.250000000000004,326,226,77.43666666666657,27
32.113333333333344,326,226,77.43666666666657,28
29.09333333333334,326,226,77.43666666666657,29
31.950000000000017,326,226,77.43666666666657,30
30.69666666666667,326,226,77.43666666666657,31
29.75666666666666,326,226,77.43666666666657,32
32.20333333333334,326,226,77.43666666666657,33
31.616666666666674,326,226,77.43666666666657,34
32.05666666666667,326,226,77.43666666666657,35
28.820000000000004,326,226,77.43666666666657,36
30.636666666666674,326,226,77.43666666666657,37
33.74000000000001,326,226,77.43666666666657,38
30.946666666666662,326,226,77.43666666666657,39
28.116666666666678,326,226,77.43666666666657,40
31.093333333333344,326,226,77.43666666666657,41
29.793333333333344,326,226,77.43666666666657,42
29.983333333333345,326,226,77.43666666666657,43
31.38333333333334,326,226,77.43666666666657,44
30.483333333333352,326,226,77.43666666666657,45
36.99666666666667,326,226,77.43666666666657,46
31.246666666666684,326,226,77.43666666666657,47
28.990000000000016,326,226,77.43666666666657,48
30.576666666666686,326,226,77.43666666666657,49
31.21000000000001,326,226,77.43666666666657,50
33.99333333333334,326,226,77.43666666666657,51
30.919999999999995,326,226,77.43666666666657,52
31.366666666666678,326,226,77.43666666666657,53
30.55333333333333,326,226,77.43666666666657,54
32.05,326,226,77.43666666666657,55
31.096666666666657,326,226,77.43666666666657,56
32.79666666666667,326,226,77.43666666666657,57
30.086666666666687,326,226,77.43666666666657,58
30.816666666666677,326,226,77.43666666666657,59
32.69333333333335,326,226,77.43666666666657,60
31.81666666666669,326,226,77.43666666666657,61
30.233333333333345,326,226,77.43666666666657,62
31.040000000000003,326,226,77.43666666666657,63
31.71666666666668,326,226,77.43666666666657,64
30.77666666666667,326,226,77.43666666666657,65
32.94333333333335,326,226,77.43666666666657,66
31.32333333333335,326,226,77.43666666666657,67
28.72666666666668,326,226,77.43666666666657,68
